Sample,mRNAsi
TCGA-FD-A6TK-01A-42R-A33J-07,0.31393639088841496
TCGA-FJ-A3Z7-01A-12R-A23N-07,0.27545812759018856
TCGA-FJ-A3Z9-01A-11R-A26T-07,0.39795657199361006
TCGA-FJ-A3ZE-01A-11R-A23N-07,0.43362183934475207
TCGA-FJ-A3ZF-01A-11R-A23N-07,0.5356644151427127
TCGA-FJ-A871-01A-11R-A352-07,0.38148451010497136
TCGA-FT-A3EE-01A-11R-A206-07,0.3802315637356807
TCGA-FT-A61P-01A-11R-A30C-07,0.33508580469438215
TCGA-G2-A2EC-01A-11R-A180-07,0.20936216736083196
TCGA-G2-A2EF-01A-12R-A18C-07,0.39914851437350385
TCGA-G2-A2EJ-01A-11R-A180-07,0.4841350189477962
TCGA-G2-A2EK-01A-22R-A18C-07,0.34165906192315226
TCGA-G2-A2EL-01A-12R-A18C-07,0.6590984561721905
TCGA-G2-A2EO-01A-11R-A180-07,0.42555485449145625
TCGA-G2-A2ES-01A-11R-A180-07,0.5002594310177803
TCGA-G2-A3IB-01A-11R-A20F-07,0.459760370685748
TCGA-G2-A3IE-01A-11R-A20F-07,0.3954404980646974
TCGA-G2-A3VY-01A-11R-A22U-07,0.4583232601760822
TCGA-G2-AA3B-01A-11R-A39I-07,0.49838354584947475
TCGA-G2-AA3C-01A-21R-A39I-07,0.4326301703750415
TCGA-G2-AA3D-01A-11R-A39I-07,0.470157917191381
TCGA-G2-AA3F-01A-12R-A42T-07,0.48133534685346613
TCGA-GC-A3BM-01A-11R-A22U-07,0.41488883933450876
TCGA-GC-A3BM-11A-11R-A22U-07,0.14732925182358136
TCGA-GC-A3I6-01A-11R-A20F-07,0.406524385721815
TCGA-GC-A3OO-01A-11R-A22U-07,0.33976886632898967
TCGA-GC-A3RB-01A-12R-A220-07,0.5761132311989692
TCGA-GC-A3RC-01A-11R-A22U-07,0.45089061138404324
TCGA-GC-A3RD-01A-12R-A22U-07,0.4300570692755523
TCGA-GC-A3WC-01A-31R-A22U-07,0.43730205427883506
TCGA-GC-A3WC-11A-11R-A22U-07,0.1313706166204885
TCGA-GC-A3YS-01A-11R-A23N-07,0.3570491273880667
TCGA-GC-A4ZW-01A-11R-A26T-07,0.5145709907464143
TCGA-GC-A6I1-01A-12R-A31N-07,0.45496990361427514
TCGA-GC-A6I3-01A-11R-A31N-07,0.5000760042353178
TCGA-GC-A6I3-11A-11R-A31N-07,0.35638989293326984
TCGA-GD-A2C5-01A-12R-A180-07,0.3961473605713907
TCGA-GD-A2C5-11A-11R-A180-07,0.2810675393182125
TCGA-GD-A3OP-01A-21R-A220-07,0.27195764198781086
TCGA-GD-A3OP-11A-11R-A220-07,0.2346506487454786
TCGA-GD-A3OQ-01A-32R-A220-07,0.36511304641486614
TCGA-GD-A3OQ-11A-21R-A220-07,0.15705132101134062
TCGA-GD-A3OS-01A-12R-A220-07,0.3101475302208562
TCGA-GD-A6C6-01A-21R-A31N-07,0.5770833894326817
TCGA-GD-A76B-01A-11R-A32O-07,0.425401457642217
TCGA-GU-A42P-01A-11R-A23W-07,0.4478454611946777
TCGA-GU-A42Q-01A-11R-A23W-07,0.4603050420691006
TCGA-GU-A42R-01A-11R-A23N-07,0.366897059277165
TCGA-GU-A762-01A-11R-A33J-07,0.4111677317010657
TCGA-GU-A763-01A-11R-A32O-07,0.516346940063598
TCGA-GU-A764-01A-11R-A352-07,0.33584091678981454
TCGA-GU-A766-01A-11R-A32O-07,0.4464802952049846
TCGA-GU-A767-01A-11R-A32O-07,0.4015808989670419
TCGA-GU-AATO-01A-11R-A39I-07,0.3711242405992169
TCGA-GU-AATP-01A-11R-A39I-07,0.308048458156205
TCGA-GU-AATQ-01A-11R-A39I-07,0.46109459814490944
TCGA-GV-A3JV-01A-11R-A220-07,0.37545962153822715
TCGA-GV-A3JW-01A-11R-A20F-07,0.47037932055859366
TCGA-GV-A3JX-01A-11R-A20F-07,0.4190884037818821
TCGA-GV-A3JZ-01A-11R-A21D-07,0.48123301012031205
TCGA-GV-A3QF-01A-31R-A22U-07,0.47335653252139825
TCGA-GV-A3QG-01A-11R-A220-07,0.30523222684841217
TCGA-GV-A3QH-01A-11R-A220-07,0.5477855994334602
TCGA-GV-A3QI-01A-11R-A220-07,0.5251723822432007
TCGA-GV-A3QK-01B-11R-A23N-07,0.44511099017177463
TCGA-GV-A40E-01A-12R-A23N-07,0.44098163000735563
TCGA-GV-A40G-01A-11R-A23N-07,0.501401040281143
TCGA-GV-A6ZA-01A-12R-A33J-07,0.5272036364447347
TCGA-H4-A2HO-01A-11R-A180-07,0.31540498018820345
TCGA-H4-A2HQ-01A-11R-A180-07,0.4428604437034859
TCGA-HQ-A2OE-01A-11R-A206-07,0.5265371062406056
TCGA-HQ-A2OF-01A-11R-A26T-07,0.5113080965088443
TCGA-HQ-A5ND-01A-11R-A26T-07,0.5439425673113025
TCGA-HQ-A5NE-01A-12R-A28M-07,0.35063372250090225
TCGA-K4-A3WS-01A-11R-A22U-07,0.2395133463160889
TCGA-K4-A3WU-01B-11R-A23N-07,0.21424572624305377
TCGA-K4-A3WV-01A-11R-A22U-07,0.4300315523048703
TCGA-K4-A3WV-11A-21R-A22U-07,0.2815795629170135
TCGA-K4-A4AB-01B-12R-A28M-07,0.19529353713648048
TCGA-K4-A4AC-01A-21R-A26T-07,0.4959020687479675
TCGA-K4-A54R-01A-11R-A26T-07,0.3801930076925468
TCGA-K4-A54R-11A-11R-A26T-07,0.19540402439211513
TCGA-K4-A5RH-01A-11R-A30C-07,0.31543592755860356
TCGA-K4-A5RI-01A-11R-A28M-07,0.39776555233441097
TCGA-K4-A5RI-11A-11R-A28M-07,0.18348778580719824
TCGA-K4-A5RJ-01A-11R-A28M-07,0.4510185398110848
TCGA-K4-A6FZ-01A-11R-A31N-07,0.36526927414072796
TCGA-K4-A6MB-01A-11R-A31N-07,0.3672489718600809
TCGA-K4-A83P-01A-11R-A352-07,0.2756084801222459
TCGA-K4-AAQO-01A-11R-A38B-07,0.2711877594025385
TCGA-KQ-A41N-01A-11R-A33J-07,0.4069665311920508
TCGA-KQ-A41O-01A-12R-A352-07,0.5108537744207758
TCGA-KQ-A41P-01A-12R-A33J-07,0.3726315606581871
TCGA-KQ-A41Q-01A-11R-A33J-07,0.5124386224153855
TCGA-KQ-A41R-01A-21R-A352-07,0.4030130282881902
TCGA-KQ-A41S-01A-12R-A33J-07,0.30658425127335287
TCGA-LC-A66R-01A-41R-A30C-07,0.4399094903615031
TCGA-LT-A5Z6-01A-11R-A28M-07,0.5221548828916539
TCGA-LT-A8JT-01A-11R-A36F-07,0.3849783002472348
TCGA-MV-A51V-01A-11R-A26T-07,0.3931346512406955
TCGA-PQ-A6FI-01A-11R-A31N-07,0.5455903024069805
TCGA-PQ-A6FN-01A-11R-A31N-07,0.4862293030556051
TCGA-R3-A69X-01A-22R-A30C-07,0.32985364486153784
TCGA-S5-A6DX-01A-11R-A31N-07,0.41585419060108497
TCGA-S5-AA26-01A-11R-A38B-07,0.41042842981041217
